"inspection_id","region","year.y","risk_category","lat","long","popInfo"
404738,"nw",2014,"3",38.89992,-77.02199,"404738 <br> nw <br> 3 <br>"
203584,"nw",2014,"3",38.907672,-77.031874,"203584 <br> nw <br> 3 <br>"
811697,"ne",2015,"3",38.942159,-77.000919,"811697 <br> ne <br> 3 <br>"
8337,"nw",2010,"3",38.907672,-77.031874,"8337 <br> nw <br> 3 <br>"
825245,"nw",2016,"3",38.946888,-77.064991,"825245 <br> nw <br> 3 <br>"
98523,"ne",2012,"3",38.89732,-77.008425,"98523 <br> ne <br> 3 <br>"
204514,"sw",2014,"3",38.884191,-77.029151,"204514 <br> sw <br> 3 <br>"
611437,"nw",2015,"4",38.899736,-77.020069,"611437 <br> nw <br> 4 <br>"
831559,"nw",2016,"3",38.96615,-77.027526,"831559 <br> nw <br> 3 <br>"
180466,"se",2013,"3",38.899357,-76.994886,"180466 <br> se <br> 3 <br>"
199706,"nw",2013,"3",38.921865,-77.072577,"199706 <br> nw <br> 3 <br>"
836508,"nw",2017,"3",38.901345,-77.038522,"836508 <br> nw <br> 3 <br>"
834977,"nw",2017,"4",38.899996,-77.041976,"834977 <br> nw <br> 4 <br>"
142994,"ne",2012,"3",38.900123,-76.98694,"142994 <br> ne <br> 3 <br>"
835476,"ne",2017,"3",38.908088,-77.000501,"835476 <br> ne <br> 3 <br>"
201513,"sw",2013,"3",38.884415,-77.015258,"201513 <br> sw <br> 3 <br>"
891341,"sw",2017,"5",38.886886,-77.019911,"891341 <br> sw <br> 5 <br>"
142731,"se",2012,"3",38.885065,-77.005893,"142731 <br> se <br> 3 <br>"
820279,"nw",2015,"3",38.942293,-77.025622,"820279 <br> nw <br> 3 <br>"
9869,"nw",2010,"4",38.903125,-77.039701,"9869 <br> nw <br> 4 <br>"
8780,"ne",2010,"3",38.900125,-76.989473,"8780 <br> ne <br> 3 <br>"
811383,"nw",2015,"3",38.909725,-77.032452,"811383 <br> nw <br> 3 <br>"
